CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
Gateway @ 150 Beach Rd,$2.80/hr from 7am to 6pm,$2.10/entry from 6pm to 7am the following day,"$2.80/hr from 7am to 1pm, $2.10/entry from 1pm to 7am the following day",$2.10/entry from 7am to 7am the following day,"150 Beach Road, S(189720)","1.2984041,103.8589041"
Gek Poh Shopping Centre,$0.0167/min from 7am to 4.59pm,"$0.0167/min up to a maximum charge of $1.00 from 5pm to 11.59pm, $0.0167/min up to a maximum charge of $2.00 from 12midnight to 6.59am the following day","$0.0167/min up to a maximum charge of $1.00 from 7am to 11.59pm, $0.0167/min up to a maximum charge of $2.00 from 12midnight to 6.59am the following day","$0.0167/min up to a maximum charge of $1.00 from 7am to 11.59pm, $0.0167/min up to a maximum charge of $2.00 from 12midnight to 6.59am the following day","762 Jurong West Street 75, S(640762)","1.3489162,103.6976086"
Gemini @ Sims,$0.55/30min from 7am to 6pm,$2.20/entry from 6pm to 7am the following day,$3.00/entry from 7am to 7am the following day,$3.00/entry from 7am to 7am the following day,2 Sims Close S(387298),"1.3158896,103.8777047"
Genting Centre,"$3.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 7pm",$3.00/entry from 7pm to 7am the following day,Charges same as weekdays,"$3.00/entry from 7am to 7pm, $3.00/entry from 7pm to 7am the following day","3 Lim Teck Kim Road, S(088934)","1.2732536,103.8425691"
Genting Hotel Jurong,$3.00/hr from 12midnight to 11.59pm from Mon to Thurs,$3.00/hr from 12midnight to 11.59pm from Mon to Thurs,$4.00/hr from 12midnight to 11.59pm the from Fri to Sun,$4.00/hr from 12midnight to 11.59pm the from Fri to Sun,"2 Town Hall Link, S(608516)","1.3316015,103.739325"
German Centre,$2.50/hr from 7am to 4.59pm,$2.50/entry from 5pm to 6.59am,"$2.00/hr from 7am to 12.59am, Free parking after 1pm",Free parking,"25 International Business Park, 
S(609916)","1.324972,103.7463864"
Geylang Field,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"30 Lorong 12 Geylang, S(399005)","1.3105568,103.8779981"
Geylang Serai Market,(Mon-Thu) $0.60/30min from 7am to 5pm,(Mon-Thu) $0.60/30min from 5pm to 7am the following day,"(Fri-Sat) $0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","$0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","1 Geylang Serai, S(402001)","1.3166568,103.8981808"
Gillman Barracks,"$0.60/30min for 1st 2hr, $3.00/hr from the 3rd hr from 8.30am to 5pm",Free parking from 5pm to 8.30am the following day,Free parking from 8.30am to 8.30am the following day,Free parking from 8.30am to 8.30am the following day,"7 Lock Road, S(108935)","1.2776988,103.8045325"
Gleneagles Hospital,"$2.00 for the 1st 30min, $0.80 for next subsequent 15min from 6am to 8pm","$2.00 for the 1st 30min, $0.80 for next subsequent 15min from 6am to 8pm",Charges same as weekdays,Charges same as weekdays,"6A Napier Road, S(258500)","1.3076528,103.8198871"
Goldbell Towers,"$4.00 for 1st hr, $2.00 for next subsequent 30min from 8am to 5pm",$5.00/entry from 5pm to 8am the following day,"$4.00 fro 1st hr, $2.00 for next subsequent 30min from 8am to 1pm, $5.00/entry from 1pm to 8am the following day",$5.00/entry from 8am to 8am the following day,"47 Scotts Road, S(228233)","1.3123318,103.8370008"
Golden Agri Plaza,"$1.20/hr from 7am to 6pm for cars, $2.00/hr from 7am to 6pm for commercial vehicles","$2.00/entry from 6pm to 7am the following day for cars, $2.50/entry from 6pm to 7am the following day for commercial vehicles",Charges same as weekdays,$2.50/entry from 7am to 7am the following day,"108 Pasir Panjang Road, S(118535) ","1.2764275,103.7941909"
Golden Landmark Shopping Complex,"$2.35 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm",$2.68/entry from 5pm to 8am the following day,Charges same as weekdays,$2.68/entry from 8am to 8am the following day,390 Victoria Street S(188061),"1.3019085,103.8578808"
Golden Mile Complex,"$2.20 for 1st hr, $1.10 for next subsequent 30min from 7.01am to 6pm",$3.00/entry from 6.01pm to 7am the following day,Charges same as weekdays,$3.00/entry from 7.01am to 7am the following day,"5001 Beach Road, S(199588)","1.3027902,103.8653797"
Golden Mile Food Centre,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 5pm",$0.80/30min from 5pm to 10.30pm,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 10.30pm","$0.60/30min from 7am to 10am, $0.80/30min from 10am to 10.30pm","505 Beach Road, S(199583)","1.3030908,103.8639299"
Golden Mile Tower,$2.40/hr from 8am to 5pm,$3.50/entry from 5pm to 8am the following day,"$2.40/hr from 8am to 5pm, $3.50/entry from 5pm to 8am the following day",$3.50/entry from 8am to 8am the following day,6001 Beach Road S(199589),"1.3019921,103.8642024"
Golden Shoe Complex,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"50 Market Street, S(048940)","1.284342,103.850119"
Goldhill Plaza,"$1.60 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.30pm","$4.00/entry from 5.30pm to 12midnight the following day, $4.00/entry from 12midnight to 7am","$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5.30pm, $4.00/entry from 5.30pm to 12midnight the following day, $4.00/entry from 12midnight to 7am","$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5.30pm, $4.00/entry from 5.30pm to 12midnight the following day, $4.00/entry from 12midnight to 7am","1 Goldhill Plaza, S(308899)","1.3179851,103.8429051"
Goodwood Park Hotel,"$5.35 for 1st hr, $2.50 for next subsequent 30min from 8am to 6pm",$5.35/entry from 6pm to 8am the following day,Charges same as weekdays,$6.42/entry from 8am to 7.59am the following day,"22 Scotts Road, S(228221)","1.3081585,103.8343062"
Gordon Warehouse Building,$1.20/hr from 7am to 6pm,$1.20/hr from 6.01pm to 6.59am the following day,Charges same as weekdays,$1.20/hr from 7am to 6pm,"9 Kaki Bukit Road 2, S(417842) ","1.337751,103.8971834"
Grand Copthorne Waterfront Hotel,"$3.75 for 1st hr, $2.14 for next subsequent hr from 7am to 5pm",$4.28/entry from 5pm to 7am the following day,Charges same as weekdays,$4.28/entry from 7am to 7am the following day,"392 Havelock Road, S(169663)","1.2900873,103.8353025"
Grand Hyatt Singapore,"$4.00 for 1st hr, $2.00 for next subsequent 30min from 4am to 5.59pm",$6.00/entry from 6pm to 3.59am the following day,Charges same as weekdays,Charges same as weekdays,"10 Scotts Road, S(228211)","1.3062616,103.8334004"
Grand Mercure Roxy Hotel,$1.60/hr from 6am to 6am the following day,$1.60/hr from 6am to 6am the following day,Charges same as weekdays,Charges same as weekdays,"50 East Coast Road, S(428769)","1.303884,103.9043973"
Grand Park City Hall,"$3.28 for 1st hr, $1.55 for next subsequent 30min from 8am to 5pm",$5.35/entry from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"10 Coleman Street, S(179809)","1.2928919,103.8503844"
Grand Park Orchard,"$3.50 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm","$3.80 for 1st hr, $1.80 for next subsequent 30min from 6pm to 11pm, $5.00/entry from 11pm to 7am the following day","$3.80 for 1st hr, $1.80 for next subsequent 30min from 7am to 11pm, $5.00/entry from 11pm to 7am the following day","$3.80 for 1st hr, $1.80 for next subsequent 30min from 7am to 11pm, $5.00/entry from 11pm to 7am the following day","270 Orchard Road, S(238857)","1.3029904,103.8362536"
Grange Road / Somerset Road,"$1.30/30min from 7am to 11am, $1.50/30min from 11am to 5pm","$0.80/30min from 5pm to 10.30pm, $0.70/30min from 10.30pm to 7am the following day capped at $5.60",Charges same as weekdays,"$0.70/30min from 7am to 11am, $0.80/30min from 11am to 10.30pm, $0.70/30min from 10.30pm to 7am the following day capped at $5.60",Grange Road / Somerset Road,"1.3008924,103.8365122"
Great Eastern @ Changi,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"200 Changi Road, S(419734)","1.316912,103.9036103"
Great Eastern Centre,$1.80/30min from 8am to 6pm,$3.30/entry from 6pm to 7.59am the following day,$3.30/entry from 6am to 8am the following day,$3.30/entry from 8am to 5.59am the following day,"1 Pickering Street, S(048659)","1.2848668,103.8475172"
Great World City,$1.66/hr from 6.01am to 5pm,$3.53/entry from 5.01pm to 6am the following day,$1.77/hr up to a maximum cap of $6.42/entry from 6.01am to 6am the following day,$1.66/hr up to a maximum cap of $6.42/entry from 6.01am to 6am the following day,"1 Kim Seng Promenade, S(237994)","1.293984,103.832088"
Greenridge Shopping Centre,"$0.60/30min from 7am to 12pm, free parking from 12pm to 2pm, $0.60/30min from 2pm to 5pm","$1.00/entry from 5pm to 12midnight, $2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,$1.00/entry from 7am to 7am the following day,"524A Jelapang Road, S(671524)","1.3853755,103.7663006"
Greenwich Village,"$1.34/hr for 1st hr, $0.81 for subsequent 30min from 6am to 5.59pm","$2.14 for 1st 2hr, $0.81 for next subsequent 30min from 6pm to 5.59am the following day",Charges same as weekdays,Charges same as weekdays,1 Seletar Road S(807011),"1.3875841,103.869409"
Guoco Tower,"$4.00/30min from 7am to 4.59pm for Carpark A, $1.50/30min from 7am to 4.59pm for Carpark B",$2.50/entry from 5pm to 6.59am the following day for Carpark A and B,$2.50/entry from 7am to 6.59am the following day,"$2.50/entry from 7am to 6.59am the following day, capped at $2.50/day","1 Wallich Street, S(078883)","1.2764491,103.8458497"
Guthrie House,"$0.05/min for 1st 30min, $0.02/min subsequently from 8am to 8pm except $0.08/min from 12pm to 2pm","$0.03/min for 1st 30min, $0.02/min subsequently from 8pm to 8am the following day","$0.04/min for 1st 30min, $0.02/min subsequently from 8am to 8am the following day",$2.00/entry from 8am to 8am the following day,"1 Fifth Avenue, S(268802)","1.3308419,103.7956357"
Hainanese Village Centre (Lorong Ah Soo Market),"$0.60/30min from 7am to 11am, $0.80/30mmin from 11am to 2pm",$0.60/30min from 2pm to 7am the following day,"$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day","$0.80/30min from 7am to 2pm, $0.60/30min from 2pm to 7am the following day","105 Hougang Avenue 1, S(530105)","1.3540216,103.8900219"
Hangout @ Mount Emily,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,"10A Upper Wilkie Road, S(228119)","1.3033648,103.8477574"
HarbourFront Centre,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 6pm","$2.60/entry from 6pm to 1am the following day, $2.04/hour from 1am to 7am the following day",Charges Same as Weekdays,Charges Same as Weekdays,"1 Maritime Square, S(099253)","1.2642175,103.8203582"
HarbourFront Tower 1,$1.05/30min from 7am to 7pm,"$3.10/entry from 7pm to 1am the following day, $3.10/hr from 1am to 7am","$1.05/30min from 7am to 1pm, $1.20 for 1st hr, $0.60 for subsequent 30min from 1pm to 6pm, $2.40/entry from 6pm to 1am the following day, $3.10/hr from 1am to 7am","$1.20 for 1st hr, $0.60 for subsequent 30min from 7am to 6pm, $2.40/entry from 6pm to 1am the following day, $3.10/hr from 1am to 7am","1 HarbourFront Place, S(098633)","1.2645158,103.8192714"
Hard Rock Hotel,(Mon-Thurs) $6.00/entry from 12am to 11.59pm,(Mon-Thurs) $6.00/entry from 12am to 11.59pm,(Fri-Sat) $9.00/entry from 12am to 11.59pm,$9.00/entry from 12am to 11.59pm,"8 Sentosa Gateway, S(098269)
","1.2569835,103.8202676"
Hausmann Marketing Aquarium (Fish Farm),Free parking,Free parking,Charges same as weekdays,Charges same as weekdays,"291 Plot 113 Neo Tiew Crescent, S(718903)","1.4443904,103.7290751"
Haw Par Villa,$5.00/entry from 7.30am to 10.30pm,$5.00/entry from 7.30am to 10.30pm,$5.00/entry from 7.30am to 10.30pm,$5.00/entry from 7.30am to 10.30pm,"262 Pasir Panjang Road, S(118628)","1.2844534,103.7828687"
HDB Bedok Town Centre Blk 204,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm",$0.60/30min from 8pm to 7am the following day,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day","$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day","204 Bedok North Street 1, S(460204)","1.3267772,103.9302886"
HDB Bedok Town Centre Blk 208A,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm",$0.60/30min from 8pm to 7am the following day,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day","$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day","208A New Upper Changi Road, S(461208)","1.3256056,103.9312361"
HDB Bedok Town Centre Blk 211,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm",$0.60/30min from 8pm to 7am the following day,"$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day","$0.60/30min from 7am to 10am, $0.80/30min from 10am to 8pm, $0.60/30min from 8pm to 7am the following day","211 New Upper Changi Road, S(460211)","1.3255108,103.931987"
HDB Blk 1 / 2 / 5 / 2A / 28 (Jalan Bukit Merah),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"1 Jalan Bukit Merah, S(150001)","1.2864899,103.8084455"
HDB Blk 12A (Dover Close East),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"12A Dover Close East, S(131012)","1.3047976,103.7851849"
HDB Blk 131 / 134 / 132 (Jurong East St 13),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"Blk 131, Jurong East Street 13, S(600131)","1.3345467,103.7401344"
HDB Blk 28 (Hoy Fatt Road),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"Blk 28, Hoy Fatt Road, S(151028)","1.2864623,103.8098075"
HDB Blk 28A / 38 / 49A (Beo Crescent),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,Free Parking,"Blk 28A, Beo Crescent, S(164028)","1.2883734,103.8278754"
HDB Blk 349 to 355 (Clementi Ave 2),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day",Charges same as weekdays,"Free parking from 7am to 10.29pm, $0.02/min up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day","Blk 349, Clementi Ave 2, S(120349)","1.3159413,103.7710535"
HDB Blk 442 to 444 / 442A / 445 / 462A (Clementi Ave 3),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"Blk 442, Clementi Ave 3, S(120442)","1.314037,103.7643992"
HDB Blk 4A / 6A (Woodlands Centre Road),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $2.00 from 10.30pm to 12.59am, $2.00/entry from 1am to 6.59am",Charges same as weekdays,Charges same as weekdays,"4A Woodlands Centre Road, S(731004)","1.441109,103.7701029"
HDB Blk 700A (Pasir Ris Drive 10),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"710A Pasir Ris Drive 10, S(511700)","1.3812039,103.9393317"
HDB Blk 710A (Pasir Ris Street 72),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"710A Pasir Ris Street 72, S(511710)","1.3823895,103.9373377"
HDB Blk 718A (Pasir Ris Street 72),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"718A Pasir Ris Street 72, S(511718)","1.381734,103.935773"
HDB Blk 8A (Empress Rd),HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of $2.00 from 10.30pm to 12.59am the following day, $2.00/entry from 1am to 6.59am",Charges same as weekdays,Charges same as weekdays,"8A Empress Road, S(261008)","1.3167316,103.8061399"
HDB Bukit Merah Central BM28/30,HDB / URA parking rates from 7am to 7pm,Reserved for season parking from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"Bukit Merah Central, S(150119)","1.2834458,103.8161326"
HDB Hub (Toa Payoh),$0.60/30min from 7am to 6pm,"$1.50/entry from 6pm to 10.30pm, $5.00/entry from 10.30pm to 7am the following day",Charges same as weekdays,"$1.50/entry from 7am to 10.30pm, $5.00/entry from 10.30pm to 7am the following day","480 Toa Payoh Lorong 6, S(310480)","1.3322846,103.8483709"
HDB McNair Road MSCP,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"113 McNair Road, S(323113)","1.3210653,103.8598685"
Health Promotion Board,$0.036/min from 7am to 10pm,$2.14/entry from 10pm to 7am the following day,Charges same as weekdays,"$0.018/min from 7am to 10pm, $2.14/entry from 10pm to 7am the following day","3 Second Hospital Avenue, S(168937)","1.2799858,103.8383881"
Heartbeat @ Bedok,"$0.02/min from 7am to 10.30pm, free parking during 12pm to 2pm (Mon to Fri)",$0.02/min from 10.30pm to 7am the following day (capped at $5.00),"$0.02/min from 7am to 10.30pm, $0.02/min from 10.30pm to 7am the following day (capped at $5.00)","$0.02/min from 7am to 10.30pm, $0.02/min from 10.30pm to 7am the following day (capped at $5.00)","11 Bedok North Street 1, S(469662)","1.3269753,103.9321493"
Heartland Mall,$1.00/hr from 7am to 10.30pm,$2.00/hr from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"205 Hougang Street 21, S(530205)","1.359469,103.8851289"
Henderson Industrial Park Blk 201,$1.40/hr from 8am to 4.59pm,$1.70/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,"201 Henderson Road, S(159545)","1.2827111,103.8204487"
Henderson Industrial Park Blk 203,$1.40/hr from 8am to 4.59pm,$1.70/entry from 5pm to 7.59am the following day,Charges same as weekdays,$3.50/entry from 8am to 8am the following day,"203 Henderson Road, S(159546)","1.281749,103.8212455"
Henderson Industrial Park Blk 213 to 219,$1.60/hr from 8am to 5pm,"$3.00/entry from 5pm to 8pm, $3.00/entry from 8pm to 8am the following day",Charges same as weekdays,"$3.00/entry from 8am to 8pm, $3.00/entry from 8pm to 8am the following day","213 Henderson Road, S(159553)","1.2811461,103.8187789"
HexaCube,"$1.20 for 1st 30min, $0.60 for next subsequent 15min from 7am to 5.59pm",$3.00/entry from 6pm to 6.59am the following day,"$1.20 for 1st 30min, $0.60 for next subsequent 15min from 7am to 12.59pm, $3.00/entry from 1pm to 6.59am the following day",$3.00/entry from 7am to 6.59am the following day,"160 Changi Road, S(419728)","1.3167434,103.9025021"
High Street Centre,$2.78/hr from 7am to 5pm,$3.21/entry from 5.01pm to 7am the following day,Charges same as weekdays,$3.21/entry from 7am to 7am the following day,"1 North Bridge Road, S(179094)","1.2900089,103.8494332"
Highland Centre,"$0.27/15min from 8am to 1.59pm, $0.27/10min from 2pm to 5.59pm","$0.27/15min from 6pm to 11.59pm, $1.07/30min from 12midnight to 7.59am the following day",Charges same as weekdays,"$1.70/entry from 8am to 11.59pm, $1.07/30min from 12midnight to 7.59am the following day","22 Yio Chu Kang Road, S(545535) ","1.3553744,103.8772068"
Hillion Mall,"$1.38 for 1st hr, $0.46 for next subsequent 15min or part thereof from 11.01pm to 5.59pm",$2.77/entry from 6pm to 11pm,"$2.77 for 1st 2hr, $0.46 for next subsequent 15min or part thereof from 11.01pm to 5.59pm the following day, $2.77/entry from 6pm to 11pm","$2.77 for 1st 2hr, $0.46 for next subsequent 15min or part thereof from 11.01pm to 5.59pm the following day, $2.77/entry from 6pm to 11pm","17 Petir Road, S(678278)","1.3779581,103.7630439"
HillV2,"$1.07 for 1st 90min, $0.64 for next subsequent 30min from 7am th 7am the following day","$1.07 for 1st 90min, $0.64 for next subsequent 30min from 7am th 7am the following day",Charges same as weekdays,Charges same as weekdays,"4 Hillview Rise, S(667979)","1.3629411,103.7641958"
Hilton Garden Inn,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,"3 Belilios Road, S(219924)","1.3084618,103.8519244"
Hilton Hotel,"$7.00 for 1st hr, $3.50 for next subsequent 30min from 7am to 6pm",$7.00/entry from 6pm to 7am the following day,Charges same as weekdays,$7.00/entry from 7am to 7am the following day,"581 Orchard Road, S(238883)","1.3059187,103.8293246"
Hindoo Road,$0.60/30min from 7am to 5pm,"$0.60/30min from 5pm to 7am the following day, Parking charges capped at $5.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,Hindoo Road,"1.3079731,103.8547067"
Hindoo Road / Kampong Kapor Road,$0.60/30min from 7am to 5pm,"$0.60/30min from 5pm to 7am the following day, Parking charges capped at $5.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,Hindoo Road / Kampong Kapor Road,"1.3079731,103.8547067"
Hock Seng Building,*Not for public,*,*,*,"114 Lavender Street, S(338729)","1.3117411,103.8629343"
Hokkien KongHuay,"$0.53/30min for 1st hr, $0.53 for next subsequent 15min from 6am to 7pm","$0.53/30min for 1st hr, $0.53 for next subsequent 15min from 7pm to 12am, $2.14/30min from 12am to 6am the following day",Charges same as weekdays,Charges same as weekdays,"794 Upper Bukit Timah Road, S(678133)","1.3724,103.763159"
Holiday Inn Atrium Singapore,$1.95/hr from 7am to 5pm,$3.85/entry from 5pm to 7am the following day,Charges same as weekdays,$3.85/entry from 7am to 7am the following day,"317 Outram Road, S(169075)","1.2889969,103.834125"
Holiday Inn Express Singapore Katong,"$0.48 for 1st hr, $0.12/15min subsequently from 6am to 10am, $0.96 for 1st hr, $0.24/15min subsequently from 10am to 6pm","$1.00 for 1st hr, $0.25/15min subsequently from 6pm to 10pm, $0.32 for 1st hr, $0.08/15min subsequently from 10pm to 6am the following day","$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am","$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am","86 East Coast Road, S(428788)","1.3050948,103.9042942"
Holiday Inn Singapore Atrium,$1.93/hr from 7am to 5pm,$3.85/entry from 5pm to 7am the following day,Charges same as weekdays,$3.85/entry from 7am to 7am the following day,"317 Outram Road, S(169075)","1.2889969,103.834125"
Holiday Inn Singapore Orchard City Centre,"$3.50 for 1st hr, $1.75 for next subsequent 30min from 7am to 7am the following day","$3.50 for 1st hr, $1.75 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,"11 Cavenagh Road, S(229616)","1.3020479,103.8412807"
Holland Road Shopping Centre,(Mon-Thurs) $2.40/30min from 12midnight to 8.59pm,(Mon-Thurs) $5.00/entry from 9pm to 11.59pm,"(Fri-Sun) $2.40/30min from 12midnight to 8.59pm, $6.00/entry from 9pm to 11.59pm","(Fri-Sun) $2.40/30min from 12midnight to 8.59pm, $6.00/entry from 9pm to 11.59pm","211 Holland Avenue, S(278967)","1.3104985,103.7954546"
Home United Youth Football Academy (HYFA),"$1.28 for 1st hr, $0.64 for next subsequent 30min from 8am to 6pm",$2.68/entry from 6pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"8 Mattar Road, S(387727)","1.3244153,103.8834073"
HomeTeamNS Bukit Batok,"(For Member): $1.28 for 1st hr, $0.32/15min block or thereafter (For Public): $1.70 for 1st hr, $0.43/15min block or thereafter from 6.01am to 5pm","(For Member): $2.08/entry, (For Public): $4.16/entry from 5.01pm to 3am the following day, (For Member): $3.00/entry, (For Public): $3.90/entry from 3.01am to 6am",Charges same as weekdays,"(For Member): $2.08/entry, (For Public): $4.16/entry from 6.01am to 3am the following day, (For Member): $3.00/entry, (For Public): $3.90/entry from 3.01am to 6am","2 Bukit Batok West Ave 7, S(659003)","1.3656127,103.7490104"
HomeTeamNS Khatib,"(For Member): $1.28 for 1st hr, $0.32/15min block or thereafter (For Public): $1.70 for 1st hr, $0.43/15min block or thereafter from 6.01am to 5pm","(For Member): $2.08/entry, (For Public): $4.16/entry from 5.01pm to 3am the following day, (For Member): $3.00/entry, (For Public): $3.90/entry from 3.01am to 6am",Charges same as weekdays,"(For Member): $2.08/entry, (For Public): $4.16/entry from 6.01am to 3am the following day, (For Member): $3.00/entry, (For Public): $3.90/entry from 3.01am to 6am","2 Yishun Walk, S(767944)","1.4143332,103.8307227"
Hong Leong Building,$3.00/30min from 7am to 5.59pm,$2.00/hr from 6pm to 6.59am the following day,"$3.00/30min from 7am to 12.59pm, $2.00/hr from 1pm to 6.59am the following day",$2.00/hr from 7am to 6.59am the following day,"16 Raffles Quay, S(048581)","1.2814095,103.8510185"
Hong Leong Garden Shopping Centre,$1.21/hr from 8am to 5pm,$1.72/entry from 5pm to 8am the following day,Charges same as weekdays,$1.72/entry,"228 West Coast Way, Hong Leong Garden Shopping Centre, S(127111)","1.315657,103.757524"
Hong Lim Complex,$1.20/30min from 7am to 5pm,"$0.50/30min from 5pm to 10.30pm, $4.00/entry from 10.30pm to 7.00am the following day",Charges same as weekdays,"$0.50/30min from 7am to 10.30pm, $4.00/entry from 10.30pm to 7.00am the following day",531 Upper Cross Street S(050531),"1.2844195,103.8454248"
Hor Kew Business Centre,$0.80/30min from 7am to 5pm,$0.80/30min from 5pm to 10pm,Charges same as weekdays,$0.80/30min from 9am to 6pm,"66 Kallang Pudding Road, S(349324)","1.327245,103.878976"
HortPark,$0.60/30min from 6am to 10pm,"$0.60/30min from 10pm to 7am the following day, maximum charge of $5.00 for vehicles entering from 7pm to 10pm",Charges same as weekdays,Charges same as weekdays,"33 Hyderabad Road, S(119578)","1.2786495,103.8011593"
Hotel 1929,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"50 Keong Saik Road, S(089154)","1.2807919,103.8418042"
Hotel Asia,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,"37 Scotts Road, S(228229)","1.311453,103.835928"
Hotel Bencoolen,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,"47 Bencoolen Street, S(189626)","1.2991864,103.8500772"
Hotel Boss,$1.00/30min from 7am to 5pm,$1.00/30min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"500 Jalan Sultan, S(199020)","1.3056188,103.8603467"
Hotel Fort Canning (Entrance 1),"(Public) $1.07/30min from 6am to 6pm, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm","(Public) $3.21/entry from 6pm to 6am the following day, (Members) Free parking from 6pm to 6am the following day","(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am","(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am","11 Canning Walk, S(178881)","1.2962473,103.8453569"
